PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,calib_fator,velocidade_calibrada,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20752,55221,FABULA HARMONIA SP CM,0.00858,15,1.0,knn_enriquecido,1.6413964500297988,0.014083181541255676,6,20,0.28166363082511353,0
5.20752,55221,FABULA PLAZA SHOP CM,0.024272,15,1.0,fallback_categoria,1.5184927888116602,0.036856856970036614,4,18,0.663423425460659,1
5.20752,55221,FABULA SHOP VITORIA CM,0.043689,15,1.0,fallback_categoria,1.5665883579945814,0.06844267877242527,11,25,1.7110669693106317,2
5.20752,55221,FABULA CENTRO CM,0.010929,15,1.0,knn_enriquecido,1.5407029380016526,0.01683834240942006,4,18,0.30309016336956107,1
5.20907,55261,FABULA SHOP LEBLON CM,0.058252,15,1.0,fallback_categoria,1.6757020079967777,0.09761299336982829,4,18,1.7570338806569092,2
5.20907,55261,FABULA RDB CM,0.043689,15,1.0,fallback_categoria,1.4613373470269417,0.06384436735426005,4,18,1.1491986123766809,1
5.20907,55261,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,1.2565817595527058,0.08308518594162491,4,18,1.4955333469492484,1
5.20907,55261,FABULA ELDORADO CM,0.033981,15,1.0,fallback_categoria,1.5793903919633479,0.05366926490930652,6,20,1.0733852981861305,1
5.20907,55261,FABULA RIO SUL CM,0.053398,15,1.0,fallback_categoria,1.6518770394243272,0.08820693015118022,4,18,1.587724742721244,2
5.20907,55261,FABULA BARRA SALVADOR CM,0.067961,15,1.0,fallback_categoria,1.3226336724858752,0.08988750701581255,16,30,2.6966252104743766,3
5.20907,55261,FABULA HARMONIA SP CM,0.029126,15,1.0,fallback_categoria,1.6413964500297988,0.04780731300356792,6,20,0.9561462600713584,1
5.20907,55261,FABULA PLAZA SHOP CM,0.033981,15,1.0,fallback_categoria,1.5184927888116602,0.05159990345660902,4,18,0.9287982622189623,1
5.20907,55261,FABULA SHOP VITORIA CM,0.048544,15,1.0,fallback_categoria,1.5665883579945814,0.07604846525048896,11,25,1.901211631262224,2
5.20907,55261,FABULA CENTRO CM,0.024272,15,1.0,fallback_categoria,1.5407029380016526,0.037395941711176106,4,18,0.6731269508011699,1
5.20908,55260,FABULA SHOP LEBLON CM,0.058252,15,0.92,fallback_categoria,1.6757020079967777,0.09761299336982829,4,18,1.7570338806569092,2
5.20908,55260,FABULA RDB CM,0.043689,15,0.92,fallback_categoria,1.4613373470269417,0.06384436735426005,4,18,1.1491986123766809,1
5.20908,55260,FABULA BARRA SHOPPING,0.06612,15,0.92,knn_enriquecido,1.2565817595527058,0.08308518594162491,4,18,1.4955333469492484,1
5.20908,55260,FABULA ELDORADO CM,0.033981,15,0.92,fallback_categoria,1.5793903919633479,0.05366926490930652,6,20,1.0733852981861305,1
5.20908,55260,FABULA RIO SUL CM,0.053398,15,0.92,fallback_categoria,1.6518770394243272,0.08820693015118022,4,18,1.587724742721244,2
5.20908,55260,FABULA BARRA SALVADOR CM,0.067961,15,0.92,fallback_categoria,1.3226336724858752,0.08988750701581255,16,30,2.6966252104743766,3
5.20908,55260,FABULA HARMONIA SP CM,0.029126,15,0.92,fallback_categoria,1.6413964500297988,0.04780731300356792,6,20,0.9561462600713584,1
5.20908,55260,FABULA PLAZA SHOP CM,0.033981,15,0.92,fallback_categoria,1.5184927888116602,0.05159990345660902,4,18,0.9287982622189623,1
5.20908,55260,FABULA SHOP VITORIA CM,0.048544,15,0.92,fallback_categoria,1.5665883579945814,0.07604846525048896,11,25,1.901211631262224,2
5.20908,55260,FABULA CENTRO CM,0.024272,15,0.92,fallback_categoria,1.5407029380016526,0.037395941711176106,4,18,0.6731269508011699,1
5.20926,55257,FABULA SHOP LEBLON CM,0.058252,15,1.0,fallback_categoria,1.6757020079967777,0.09761299336982829,4,18,1.7570338806569092,2
5.20926,55257,FABULA RDB CM,0.043689,15,1.0,fallback_categoria,1.4613373470269417,0.06384436735426005,4,18,1.1491986123766809,1
5.20926,55257,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,1.2565817595527058,0.08308518594162491,4,18,1.4955333469492484,1
5.20926,55257,FABULA ELDORADO CM,0.033981,15,1.0,fallback_categoria,1.5793903919633479,0.05366926490930652,6,20,1.0733852981861305,1
5.20926,55257,FABULA RIO SUL CM,0.053398,15,1.0,fallback_categoria,1.6518770394243272,0.08820693015118022,4,18,1.587724742721244,2
5.20926,55257,FABULA BARRA SALVADOR CM,0.067961,15,1.0,fallback_categoria,1.3226336724858752,0.08988750701581255,16,30,2.6966252104743766,3
5.20926,55257,FABULA HARMONIA SP CM,0.029126,15,1.0,fallback_categoria,1.6413964500297988,0.04780731300356792,6,20,0.9561462600713584,1
5.20926,55257,FABULA PLAZA SHOP CM,0.033981,15,1.0,fallback_categoria,1.5184927888116602,0.05159990345660902,4,18,0.9287982622189623,1
5.20926,55257,FABULA SHOP VITORIA CM,0.048544,15,1.0,fallback_categoria,1.5665883579945814,0.07604846525048896,11,25,1.901211631262224,2
5.20926,55257,FABULA CENTRO CM,0.024272,15,1.0,fallback_categoria,1.5407029380016526,0.037395941711176106,4,18,0.6731269508011699,1
5.20927,55258,FABULA SHOP LEBLON CM,0.058252,15,1.0,fallback_categoria,1.6757020079967777,0.09761299336982829,4,18,1.7570338806569092,2
