PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20637,55223,FABULA SHOP LEBLON CM,0.035149,15,1.0,knn_enriquecido,4,18,0.7029097019999999,1
5.20637,55223,FABULA RDB CM,0.040453,15,1.0,knn_enriquecido,4,18,0.8089790940000001,1
5.20637,55223,FABULA BARRA SHOPPING,0.050223,15,1.0,knn_enriquecido,4,18,1.0043595539999999,1
5.20637,55223,FABULA ELDORADO CM,0.03301,15,1.0,knn_enriquecido,6,20,0.7334821999999999,1
5.20637,55223,FABULA RIO SUL CM,0.031508,15,1.0,knn_enriquecido,4,18,0.630096984,1
5.20637,55223,FABULA BARRA SALVADOR CM,0.023058,15,1.0,knn_enriquecido,16,30,0.7685231399999999,1
5.20637,55223,FABULA HARMONIA SP CM,0.033799,15,1.0,knn_enriquecido,6,20,0.7510137800000001,1
5.20637,55223,FABULA PLAZA SHOP CM,0.02233,15,1.0,knn_enriquecido,4,18,0.44655533999999997,1
5.20637,55223,FABULA SHOP VITORIA CM,0.017799,15,1.0,knn_enriquecido,11,25,0.49436722499999997,1
5.20637,55223,FABULA CENTRO CM,0.025851,15,1.0,knn_enriquecido,4,18,0.516968298,1
5.20739,55222,FABULA SHOP LEBLON CM,0.058252,15,1.0,fallback_categoria,4,18,1.164923496,1
5.20739,55222,FABULA RDB CM,0.043689,15,1.0,fallback_categoria,4,18,0.8736926219999999,1
5.20739,55222,FABULA BARRA SHOPPING,0.051325,15,1.0,knn_enriquecido,4,18,1.02639735,1
5.20739,55222,FABULA ELDORADO CM,0.033981,15,1.0,fallback_categoria,6,20,0.7550578199999999,1
5.20739,55222,FABULA RIO SUL CM,0.053398,15,1.0,fallback_categoria,4,18,1.067853204,1
5.20739,55222,FABULA BARRA SALVADOR CM,0.067961,15,1.0,fallback_categoria,16,30,2.26514013,2
5.20739,55222,FABULA HARMONIA SP CM,0.009346,15,1.0,knn_enriquecido,6,20,0.20766812,0
5.20739,55222,FABULA PLAZA SHOP CM,0.001558,15,1.0,knn_enriquecido,4,18,0.031156884,0
5.20739,55222,FABULA SHOP VITORIA CM,0.048544,15,1.0,fallback_categoria,11,25,1.3483096,1
5.20739,55222,FABULA CENTRO CM,0.009346,15,1.0,knn_enriquecido,4,18,0.186901308,0
5.20742,55221,FABULA SHOP LEBLON CM,0.058252,15,1.0,fallback_categoria,4,18,1.164923496,1
5.20742,55221,FABULA RDB CM,0.043689,15,1.0,fallback_categoria,4,18,0.8736926219999999,1
5.20742,55221,FABULA BARRA SHOPPING,0.051325,15,1.0,knn_enriquecido,4,18,1.02639735,1
5.20742,55221,FABULA ELDORADO CM,0.033981,15,1.0,fallback_categoria,6,20,0.7550578199999999,1
5.20742,55221,FABULA RIO SUL CM,0.053398,15,1.0,fallback_categoria,4,18,1.067853204,1
5.20742,55221,FABULA BARRA SALVADOR CM,0.067961,15,1.0,fallback_categoria,16,30,2.26514013,2
5.20742,55221,FABULA HARMONIA SP CM,0.009346,15,1.0,knn_enriquecido,6,20,0.20766812,0
