PRODUTO,DESC_PRODUTO,COLECAO,ANM_TIPO_PRODUTO,GRUPO_PRODUTO,SUBGRUPO_PRODUTO,LINHA,MODELAGEM
5.20754,SHORT PREDADOR MINI,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20879,TOP TAPETE DE FLOR OFF,INV26,,5BLUSA,MANGA CURTA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20911,CAMISETA MALHA ILHA PERIGOSA,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21078,RIB CURTA LISA,INV26,,5BLUSA,TOP,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20959,BERMUDA MOLETOM VAMOS PASSEAR,INV26,,5SHORT,BERMUDA MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21229,MOLETOM CAPUZ SILK SIGA O SOL,INV26,,5CASACO,FECHADO COM CAPUZ,MOLETOM LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21238,VESTIDO MALHA SILK SIGA O SOL,INV26,,5VESTIDOS,CURTO MC,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21765,REGATA RIB BORBOLETA,INV26,,5BLUSA,BLUSA ALCINHA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20785,VESTIDO ML MALHA FUTURO COSMICO,INV26,,5VESTIDOS,CURTO ML,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20686,VESTIDO MARGARIDA,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21426,SHORT LASTEX PRETO,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21231,TOP RIB BORDADO,INV26,,5BLUSA,TOP,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21287,JAQUETA SARJA BORDADA,INV26,,5CASACO,JAQUETA,SARJA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20769,LEGGING ONCINHA VERDE,INV26,,5CALÇA,LEGGING,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20825,BLUSA MALHA ONCINHA VERDE,INV26,,5BLUSA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20805,CALCA COLORIDO XADREZ E,INV26,,5CALÇA,LONGA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21668,VESTIDO ALCINHA LASTEX,INV26,,5VESTIDOS,CURTO ML,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20819,BLUSA MALHA FUTURO COSMICO,INV26,,5BLUSA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20967,SHORT NINO CORES,INV26,,BERMUDA,CURTA,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21212,MAIO FLORIA,INV26,,5MAIÔ,MANGA CURTA,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21222,SHORT MOLETOM SOL DE VERAO,INV26,,5SHORT,BERMUDA MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20882,BLUSA SOMBRINHA,INV26,,5BLUSA,MANGA CURTA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21237,VESTIDO RIBANA BORDADO,INV26,,5VESTIDOS,CURTO SEM MG,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20969,SHORT NINO LISTRAS,INV26,,BERMUDA,CURTA,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21244,REGATA RIB JARDIM FLOR,INV26,,5BLUSA,SEM MG,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20976,SHORT POODLE,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20676,VESTIDO TUCANO EM FOLHA,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20695,VESTIDO ZOO,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21251,BOLSA SIGA O SOL,INV26,,5ACESSÓRIOS,BOLSA,ACESSORIO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21204,CASACO MOLETOM ALBUM,INV26,,5CASACO,MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20797,MACACAO MALHA RIO EU TE AMO,INV26,,5MACACÃO,ALCINHA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20777,VESTIDO MALHA ALBUM,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20886,TOP FLORES DO JARDIM,INV26,,5BLUSA,SEM MG,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21225,VESTIDO RIBANA MARGARIDA,INV26,,5VESTIDOS,CURTO SEM MG,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21177,SHORT LISTRA ZEBRADA,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21641,BLUSA MALHA ML FLORIA,INV26,,5BLUSA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20807,SHORT FLORAL BELEZA,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20707,MACACAO ZEBRADA,INV26,,5MACACÃO,LONGO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21634,CAMISETA SILK OVERSIZED RIO TROPICAL,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20558,JARDINEIRA BEBE AMIGOS DA FLORESTA,INV26,,5JARDINEIRA,CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20706,VESTIDO JARDIM DE INVERNO,INV26,,5VESTIDOS,MIDI ALCINHA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20917,CAMISETA MALHA PRAIA VERMELHA,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20973,CALCA CEU DE FRUTA,INV26,,5CALÇA,MIDI,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21111,CALCA MOLETOM FRISO LATERAL,INV26,,5CALÇA,LONGA,MOLETOM LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21176,CALCA BORDADA ROSA,INV26,,5CALÇA,MIDI,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21633,CASACO MOLETOM SOL DE VERAO,INV26,,5CASACO,MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21124,CALCA MOLETOM TAPETE DE FLOR,INV26,,5CALÇA,MOLETOM,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20699,VESTIDO LISTRA RAINBOW,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21106,CALCA SARJA BORDADO,INV26,,5CALÇA,LONGA,SARJA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20792,VESTIDO MALHA ONCINHA,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20927,CAMISETA MALHA VAMOS PASSEAR,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20936,BIQUINI COSMICA,INV26,,5BIQUINI,BIQUINI,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20979,SHORT JARDIM DE INVERNO,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21644,SHORT MALHA FLORIA,INV26,,5SHORT,CURTO,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21025,BLUSA SILK VIRA LATA,INV26,,5BLUSA,SEM MG,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20613,CORTA VENTO MIX ONCINHA,INV26,,5CASACO,CORTA-VENTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20862,CAMISETA SILK DOGUINHOS,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20705,VESTIDO FLORES DO JARDIM,INV26,,5VESTIDOS,MIDI ALCINHA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21209,CASACO MOLETOM SILK LETTERING FABULA,INV26,,5CASACO,MOLETOM,MOLETOM LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20637,CORTA VENTO AMIGOS DA FLORESTA,INV26,,5CASACO,ABERTO COM CAPUZ,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21206,CASACO MOLETOM BORDADO DOGUINHO,INV26,,5CASACO,MOLETOM,MOLETOM LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21182,BLUSA BORDADO BABADOS ROSA,INV26,,5BLUSA,BLUSA ALCINHA,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21242,MEIA CALCA FLORAL,INV26,,5MEIA CALÇA,MEIA CALÇA,ACESSORIO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20652,BIQUINI BORDADO GOLFINHO,INV26,,5BIQUINI,BIQUINI,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21142,BLUSA SILK CAO DE BIKE,INV26,,5BLUSA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20681,VESTIDO ESPLENDOR TROPICAL,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20668,BIQUINI MARGARIDA,INV26,,5BIQUINI,BIQUINI,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20948,SUNGA ESPACO ATOMICO,INV26,,5SUNGA,SHORTINHO,LYCRA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20658,MACAQUINHO FLORAL BELEZA,INV26,,5MACACÃO,CURTO ALCINHA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20576,VESTIDO COM FAIXA BEBE MALHA ZOO COLOR,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20951,BERMUDA MOLETOM AR LIVRE MINI,INV26,,5SHORT,BERMUDA MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21181,TOP LISTRA AMOR,INV26,,5BLUSA,TOP,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20998,BONE MIX ONCINHA,INV26,,5ACESSÓRIOS,CHAPEU,ACESSORIO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21286,COLETE SARJA GUAPA,INV26,,5COLETE,JEANS,SARJA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20682,VESTIDO ALCINHA FLORAL BELEZA,INV26,,5VESTIDOS,CURTO ALCINHA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20944,CAMISETA UV ESPACO ATOMICO,INV26,,5BLUSA UV,ML,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20868,RIB BORDADO,INV26,,5BLUSA,SEM MG,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21664,CONJUNTO UV BEBE FILHOTES,INV26,,5CONJUNTO UV,BIQUINI + CAMISETA ML,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21168,VESTIDO SILK FIGURINHAS DO RIO,INV26,,5VESTIDOS,CURTO MC,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20653,BIQUINI POA FLOR,INV26,,5BIQUINI,BIQUINI,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21195,VESTIDO BELEZA BARRADO,INV26,,5VESTIDOS,CURTO ALCINHA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20999,BUCKET TUBARAO,INV26,,5ACESSÓRIOS,CHAPEU,ACESSORIO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21763,BLUSA RIB FLOR JARDIM,INV26,,5BLUSA,BLUSA ALCINHA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20828,BLUSA MALHA ZOO COLOR,INV26,,5BLUSA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20937,MAIO ML COSMICA,INV26,,5MAIÔ,MANGA CURTA,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20964,CALCA MOLETOM PRAIA VERMELHA,INV26,,5CALÇA,MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21767,CASACO MOLETOM SILK CAORRIDA OFF,INV26,,5CASACO,MOLETOM,MOLETOM LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21056,CAMISETA SILK NHAC,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20788,VESTIDO MALHA JARDIM DE INVERNO,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20866,CAMISETA SILK SIGA O SOL,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21031,BLUSA SILK FLORES DO JARDIM,INV26,,5BLUSA,SEM MG,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21245,BLUSA MALHA FILHOTES,INV26,,5BLUSA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21226,BLUSA MOLETOM SOL DE VERAO,INV26,,5BLUSA,SEM MG,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20926,CAMISETA MALHA SILVESTRE,INV26,,5CAMISA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20958,BERMUDA MOLETOM SILVESTRE,INV26,,5SHORT,BERMUDA MOLETOM,MOLETOM ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20854,MAIO MAR,INV26,,5MAIÔ,SEM MG,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20649,BLUSA TULE GOLFINHO,INV26,,5BLUSA,MANGA CURTA,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21051,CAMISETA SILK CAORRIDA,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21236,SHORT SAIA JEANS TRANSPASSADO,INV26,,5SHORT,SHORT SAIA,SARJA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20793,VESTIDO MALHA PASSEIO,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21199,VESTIDO ALCINHA LISTRA ZEBRADA,INV26,,5MACACÃO,CURTO ALCINHA,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21764,BLUSA RIB BORBOLETA,INV26,,5BLUSA,BLUSA ALCINHA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20562,VESTIDO BEBE CHAMEGO,INV26,,5MACACÃO,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20798,VESTIDO MALHA RIOGRAFIA,INV26,,5VESTIDOS,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21027,BLUSA SILK POODLE,INV26,,5BLUSA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
